Obstacles#East Wall,Obstacles#East Wall,Obstacles#East Wall,Obstacles#East Wall,Obstacles#East Wall,Obstacles#East Wall,Obstacles#East Wall,Obstacles#East Wall,Entrances;Stairs Bay concourse down to GO trains,Entrances;Stairs Bay concourse down to GO trains,Movement;Escalator Down Bay concourse to GO trains,Obstacles#Southeast Wall,Obstacles#Southeast Wall,Obstacles#Southeast Wall,Obstacles#Southeast Wall,Entrances;VIA map area,Entrances;VIA map area entrance,Entrances;Stairs VIA concourse down to trains,Entrances;Stairs VIA concourse down to trains,Entrances;Stairs VIA concourse down to trains,Entrances;VIA info area entrance,Information;VIA information area,Obstacles#South Wall,Obstacles#South Wall,Obstacles#South Wall,Obstacles#South Wall,Obstacles#South Wall,Obstacles#South Wall,Obstacles#South Wall,Obstacles#South Wall,Obstacles#South Wall,Obstacles#South Wall,Entrances;Stairs York concourse down to GO trains,Entrances;Stairs York concourse down to GO trains,Entrances;Stairs York concourse down to GO trains,Entrances;Stairs York concourse down to GO trains,Entrances;Stairs York concourse down to GO trains,Obstacles#Southwest Wall,Obstacles#Southwest Wall,Obstacles#Southwest Wall,Obstacles#Southwest Wall,Obstacles#Southwest Wall,Obstacles#Southwest Wall,Obstacles#Southwest Wall,Obstacles#Southwest Wall,Obstacles#Southwest Wall
Obstacles#East Wall,Obstacles#East Wall,Obstacles#East Wall,Obstacles#East Wall,Obstacles#East Wall,Obstacles#East Wall,Movement;Elevator South 1,Obstacles#East Wall,Entrances;Stairs Bay concourse down to GO trains,Entrances;Stairs Bay concourse down to GO *trains,Movement;Escalator Down Bay concourse to GO trains,Obstacles#Southeast Wall,Obstacles#Southeast Wall,Obstacles#Southeast Wall,Obstacles#Southeast Wall,Entrances;VIA map area,Entrances;VIA map area entrance,Entrances;Stairs VIA concourse down to trains,Entrances;Stairs VIA concourse down to trains,Entrances;Stairs VIA concourse down to trains,Entrances;VIA info area entrance,Information;VIA information area,Obstacles#South Wall,Obstacles#South Wall,Obstacles#South Wall,Obstacles#South Wall,Obstacles#South Wall,Obstacles#South Wall,Obstacles#South Wall,Obstacles#South Wall,Obstacles#South Wall,Obstacles#South Wall,Entrances;Stairs York concourse down to GO trains,Entrances;Stairs York concourse down to GO trains,Entrances;Stairs York concourse down to GO trains,Entrances;Stairs York concourse down to GO trains,Entrances;Stairs York concourse down to GO trains,Obstacles#Southwest Wall,Obstacles#Southwest Wall,Obstacles#Southwest Wall,Obstacles#Southwest Wall,Obstacles#Southwest Wall,Obstacles#Southwest Wall,Obstacles#Southwest Wall,Obstacles#Southwest Wall,Obstacles#Southwest Wall
Obstacles#East Wall,Obstacles#East Wall,Obstacles#East Wall,Obstacles#East Wall,Obstacles#East Wall,Obstacles#East Wall,Movement;Elevator South 2,Obstacles#East Wall,Entrances;Stairs Bay concourse down to GO trains,Entrances;Stairs Bay concourse down to GO trains,Movement;Escalator Down Bay concourse to GO trains,Obstacles#Southeast Wall,Sales;Bay Ticket counter GO VIA,Sales;Bay Ticket counter GO VIA,Sales;Bay Ticket counter GO VIA,Sales;Bay Ticket counter GO VIA,,Obstacles#South Pillar,,Obstacles#South Pillar,,Sales;West VIA Ticket counter,Sales;West VIA Ticket counter,Sales;West VIA Ticket counter,Sales;West VIA Ticket counter,Sales;West VIA Ticket counter,Sales;West VIA Ticket counter,Sales;West VIA Ticket counter,Obstacles#South Wall,Obstacles#South Wall,Obstacles#South Wall,Obstacles#South Wall,Entrances;Stairs York concourse down to GO trains,Entrances;Stairs York concourse down to GO trains,Entrances;Stairs York concourse down to GO trains,Entrances;Stairs York concourse down to GO trains,Entrances;Stairs York concourse down to GO trains,Obstacles#Southwest Wall,Movement;Elevator West 1,Movement;Elevator West 2,Obstacles#Southwest Wall,Obstacles#Southwest Wall,Obstacles#Southwest Wall,Obstacles#Southwest Wall,Obstacles#Southwest Wall,Obstacles#Southwest Wall
Obstacles#East Wall,Obstacles#East Wall,Movement;Elevator East 1,Movement;Elevator East 2,Movement;Side door and stairs down to GO trains,Obstacles#East Wall,Movement;Door to south elevators,Obstacles#East Wall,,,,,,,,,,,,,,Obstacles#Belt queue,Obstacles#Belt queue,Obstacles#Belt queue,Obstacles#Belt queue,Obstacles#Belt queue,Obstacles#Belt queue,Obstacles#Belt queue,,,,,,,,,,Obstacles#Southwest Wall,,,,,,,,
,,,,Obstacles#East Wall,Obstacles#East Wall,,,,,,,,,,,,Information;Tall info sign,,Information;Tall info sign,,Obstacles#Belt queue,Obstacles#Belt queue,Obstacles#Belt queue,Obstacles#Belt queue,Obstacles#Belt queue,Obstacles#Belt queue,Obstacles#Belt queue,,,,,,,,,,Obstacles#Southwest Wall,,,,,,,,
,,,,,Entrances;East Mall Entrance 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Entrances;West Entrance Convention Centre 1,,,,,,,,
,,,,,Entrances;East Mall Entrance 1,,,,,,Obstacles#East Benches,,Obstacles#East Benches,,Obstacles#East Benches,,,,,,,,,,,,,Obstacles#West Benches,,Obstacles#West Benches,,Obstacles#West Benches,,,,,Entrances;West Entrance Convention Centre 2,,,,,,,,
,,,,,Obstacles#Wall,,,,,,Entrances;Entrance East stairs subway,Entrances;East stairs subway,Entrances;East stairs subway,Entrances;East stairs subway,Entrances;East stairs subway,Obstacles#East Benches,,,,,Information;Information Kiosk,Information;Information Kiosk,,,,,,Entrances;Entrance West stairs subway,Entrances;West stairs subway,Entrances;West stairs subway,Entrances;West stairs subway,Entrances;West stairs subway,Obstacles#West Benches,,,,Obstacles#Wall,,,,,,,,
,,,,,Entrances;East Mall Entrance 2,,,,,,Entrances;Entrance East stairs subway,Entrances;East stairs subway,Entrances;East stairs subway,Entrances;East stairs subway,Entrances;East stairs subway,,,,,Information;Information Kiosk,Information;Information Kiosk,Information;Information Kiosk,Information;Information Kiosk,,,,,Entrances;Entrance West stairs subway,Entrances;West stairs subway,Entrances;West stairs subway,Entrances;West stairs subway,Entrances;West stairs subway,,,,,Entrances;Stairs York Street down,,,,,,,,
,,,,,Entrances;East Mall Entrance 2,,,,,,Entrances;Entrance East stairs subway,Entrances;East stairs subway,Entrances;East stairs subway,Entrances;East stairs subway,Entrances;East stairs subway,Obstacles#East Benches,,,,,Information;Information Kiosk,Information;Information Kiosk,,,,,,Entrances;Entrance West stairs subway,Entrances;West stairs subway,Entrances;West stairs subway,Entrances;West stairs subway,Entrances;West stairs subway,Obstacles#West Benches,,,,Entrances;Stairs York Street down,,,,,,,,
,,,,,Obstacles#Wall,,,,,,Obstacles#East Benches,,Obstacles#East Benches,,Obstacles#East Benches,,,,,,,,,,,,,Obstacles#West Benches,,Obstacles#West Benches,,Obstacles#West Benches,,,,,Obstacles#Wall,,,,,,,,
,,,,,Entrances;East Mall Entrance 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Entrances;West Entrance Convention Centre 3,,,,,,,,
,,,,,Entrances;East Mall Entrance 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Entrances;West Entrance Convention Centre 4,,,,,,,,
Obstacles#Northeast Wall,Obstacles#Northeast Wall,Obstacles#Northeast Wall,Obstacles#Northeast Wall,Obstacles#Northeast Wall,Obstacles#Northeast Wall,,,,,,,,,,Obstacles#North Benches,,Obstacles#North Benches,,Obstacles#North Benches,,Obstacles#North Benches,,Obstacles#North Benches,,Obstacles#North Benches,,Obstacles#North Benches,,,,,,,,,,Obstacles#West Wall,,,,,,,,
Obstacles#Northeast Wall,Obstacles#Northeast Wall,Obstacles#Northeast Wall,Obstacles#Northeast Wall,Obstacles#Northeast Wall,Obstacles#Northeast Wall,,,,,,,,,Obstacles#North Wall,Obstacles#Construction,Obstacles#Construction,Obstacles#Construction,Obstacles#Construction,Obstacles#Construction,Obstacles#Construction,Obstacles#Construction,Obstacles#Construction,Obstacles#Construction,Obstacles#Construction,Obstacles#Construction,Obstacles#Construction,Obstacles#Construction,,,,,,,,,,Obstacles#West Wall,,,,,,,,
Obstacles#Northeast Wall,Obstacles#Northeast Wall,Obstacles#Northeast Wall,Obstacles#Northeast Wall,Obstacles#Northeast Wall,Obstacles#Northeast Wall,Obstacles#Northeast Wall,Obstacles#Northeast Wall,Obstacles#Northeast Wall,Entrances;East Entrance Front Street,Entrances;East Entrance Front Street,Entrances;East Entrance Front Street,Obstacles#North Wall,Obstacles#North Wall,Obstacles#North Wall,Obstacles#Construction,Obstacles#Construction,Obstacles#Construction,Obstacles#Construction,Obstacles#Construction,Obstacles#Construction,Obstacles#Construction,Obstacles#Construction,Obstacles#Construction,Obstacles#Construction,Obstacles#Construction,Obstacles#Construction,Obstacles#North Wall,Obstacles#North Benches,Obstacles#North Benches,Obstacles#North Wall,Obstacles#North Wall,Obstacles#North Wall,Entrances;West Entrance Front Street,Entrances;West Entrance Front Street,Entrances;West Entrance Front Street,Obstacles#West Wall,Obstacles#West Wall,,,,,,,,
Obstacles#Northeast Wall,Obstacles#Northeast Wall,Obstacles#Northeast Wall,Obstacles#Northeast Wall,Obstacles#Northeast Wall,Obstacles#Northeast Wall,Obstacles#Northeast Wall,Obstacles#Northeast Wall,Obstacles#Northeast Wall,Entrances;East Entrance Front Street,Entrances;East *Entrance Front Street,Entrances;East Entrance Front Street,Obstacles#North Wall,Obstacles#North Wall,Obstacles#North Wall,Obstacles#Construction,Obstacles#Construction,Obstacles#Construction,Obstacles#Construction,Obstacles#Construction,Obstacles#Construction,Obstacles#Construction,Obstacles#Construction,Obstacles#Construction,Obstacles#Construction,Obstacles#Construction,Obstacles#Construction,Obstacles#North Wall,Obstacles#North Wall,Obstacles#North Wall,Obstacles#North Wall,Obstacles#North Wall,Obstacles#North Wall,Entrances;West Entrance Front Street,Entrances;West Entrance Front Street,Entrances;West Entrance Front Street,Obstacles#West Wall,Obstacles#West Wall,,,,,,,,
Obstacles#Northeast Wall,Obstacles#Northeast Wall,Obstacles#Northeast Wall,Obstacles#Northeast Wall,Obstacles#Northeast Wall,Obstacles#Northeast Wall,Obstacles#Northeast Wall,Obstacles#Northeast Wall,Obstacles#Northeast Wall,Entrances;East Entrance Front Street,Entrances;East Entrance Front Street,Entrances;East Entrance Front Street,Obstacles#North Wall,Obstacles#North Wall,Obstacles#North Wall,Obstacles#North Wall,Obstacles#North Wall,Obstacles#North Wall,Obstacles#North Wall,Obstacles#North Wall,Obstacles#North Wall,Obstacles#North Wall,Obstacles#North Wall,Obstacles#North Wall,Obstacles#North Wall,Obstacles#North Wall,Obstacles#North Wall,Obstacles#North Wall,Obstacles#North Wall,Obstacles#North Wall,Obstacles#North Wall,Obstacles#North Wall,Obstacles#North Wall,Entrances;West Entrance Front Street,Entrances;West Entrance Front Street,Entrances;West Entrance Front Street,Obstacles#West Wall,Obstacles#West Wall,,,,,,,,
,,,,,,,,,,,,Movement;East Ramp down,Movement;East Ramp down,Movement;East Ramp down,,,,,,,,,,,,,,,,Movement;West Ramp down,Movement;West Ramp down,Movement;West Ramp down,,,,Obstacles#West Wall,Obstacles#West Wall,,,,,,,,
,,,,,,,,,,,,Movement;East Ramp down,Movement;East Ramp down,Movement;East Ramp down,,,,,,,,,,,,,,,,Movement;West Ramp down,Movement;West Ramp down,Movement;West Ramp down,,,,Obstacles#West Wall,Obstacles#West Wall,,,,,,,,
,,,,,,,,,,,,Obstacles#North Pillar,Obstacles#North Pillar,Obstacles#North Pillar,Obstacles#North Pillar,Obstacles#North Pillar,Obstacles#North Pillar,Obstacles#North Pillar,Obstacles#North Pillar,Obstacles#North Pillar,Obstacles#North Pillar,Obstacles#North Pillar,Obstacles#North Pillar,Obstacles#North Pillar,Obstacles#North Pillar,Obstacles#North Pillar,Obstacles#North Pillar,Obstacles#North Pillar,Obstacles#North Pillar,Obstacles#North Pillar,Obstacles#North Pillar,Obstacles#North Pillar,,,,Obstacles#West Wall,Obstacles#West Wall,,,,,,,,
